customer_hash,R,F,M,cluster_id,cluster_name
1d8ff7f8,26,1,76.7,0,Recent one-time
ca110980,607,1,59.26,1,Lapsed one-time
630788e0,226,1,117.26,0,Recent one-time
e23d9fc1,19,1,34.59,0,Recent one-time
4f9543ef,475,2,167.54,2,Loyal core (repeat buyers)
a52b0fd1,338,1,96.49,0,Recent one-time
6d6e01e9,832,1,95.98,1,Lapsed one-time
df31b198,70,1,83.83,0,Recent one-time
a2002b8a,549,1,53.57,1,Lapsed one-time
a779d3be,363,1,91.17,0,Recent one-time
a0aa8406,2,1,99.15,0,Recent one-time
9257130f,145,2,2537.25,2,Loyal core (repeat buyers)
89568834,320,1,75.68,0,Recent one-time
7e5c970c,846,1,44.07,1,Lapsed one-time
72055a5c,267,1,289.62,0,Recent one-time
6bf4143c,395,1,54.86,0,Recent one-time
81692a87,572,1,200.27,0,Recent one-time
c0d57f2c,274,1,78.41,0,Recent one-time
236c3667,231,1,218.18,0,Recent one-time
0bbfc49f,696,1,36.79,1,Lapsed one-time
5118e042,118,1,254.52,0,Recent one-time
27d50bed,265,1,79.69,0,Recent one-time
7a2d8c16,797,1,76.75,1,Lapsed one-time
c4f94251,1032,1,120.8,1,Lapsed one-time
dac25bba,92,1,152.2,0,Recent one-time
559cee52,106,1,48.92,0,Recent one-time
b95cc14e,100,1,102.54,0,Recent one-time
b2f07e64,879,1,50.56,1,Lapsed one-time
39c456cc,203,1,122.77,0,Recent one-time
08623165,358,1,74.76,0,Recent one-time
58c54cbf,222,1,81.88,0,Recent one-time
30fef7f4,707,1,27.28,1,Lapsed one-time
aa7b0a46,567,1,54.2,1,Lapsed one-time
ec89bc18,799,1,89.98,1,Lapsed one-time
3881925b,1011,1,137.72,1,Lapsed one-time
ddcfbf13,542,1,35.51,1,Lapsed one-time
534232a3,267,1,82.86,0,Recent one-time
93103b2a,598,1,54.3,1,Lapsed one-time
5040808a,80,2,42.58,2,Loyal core (repeat buyers)
72ee3033,1042,1,49.99,1,Lapsed one-time
34ff2f34,1074,1,56.53,1,Lapsed one-time
e10cdd6f,831,1,28.13,1,Lapsed one-time
6b867f85,591,1,54.2,1,Lapsed one-time
40ecd191,579,1,81.86,1,Lapsed one-time
f0c23271,684,1,50.21,1,Lapsed one-time
d8e2f4f6,562,1,187.73,0,Recent one-time
38a13a16,158,1,55.43,0,Recent one-time
441330eb,163,1,47.52,0,Recent one-time
2375255f,857,1,23.41,1,Lapsed one-time
9288ef92,716,1,100.08,1,Lapsed one-time
a6bbeebb,561,1,135.7,0,Recent one-time
0cc45d3d,239,1,80.54,0,Recent one-time
6964547d,575,1,54.58,1,Lapsed one-time
7b5f8885,32,1,117.89,0,Recent one-time
73272e40,17,1,0.98,1,Lapsed one-time
b6111fef,413,1,123.39,0,Recent one-time
f8c45ea6,230,2,117.46,2,Loyal core (repeat buyers)
8bda3e66,702,1,142.03,1,Lapsed one-time
06cc21f7,553,1,83.1,1,Lapsed one-time
96a3cd5e,560,1,35.51,1,Lapsed one-time
aeadac9b,507,1,55.98,1,Lapsed one-time
83a2c259,246,1,55.42,0,Recent one-time
a6bd596f,174,1,117.0,0,Recent one-time
fde46967,1103,1,49.45,1,Lapsed one-time
7bc777ec,858,2,94.57,2,Loyal core (repeat buyers)
a045feeb,811,1,115.12,1,Lapsed one-time
aae36a0f,696,1,36.33,1,Lapsed one-time
344bb445,988,1,103.7,1,Lapsed one-time
